축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
2024 해운대카운트다운&해맞이축제,해운대해수욕장+구남로 등,2024-01-01,2024-01-01,카운트다운 행사+해맞이 행사+부대 프로그램 등,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-4062,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
제39회 해운대 달맞이온천축제,해운대해수욕장,2024-02-22,2024-02-24,길놀이 행사+달집태우기+개막행사+무대공연 등,사단법인 해운대지구발전협의회,사단법인 해운대지구발전협의회,부산광역시 해운대구청,051-749-4062,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
찾아가는 마음나눔 음악회(반송2동) - 봄바람 산들산들 반송음악회,반송문화마당,2024-04-19,2024-04-19,식전공연: 국악 등 전통공연 /본공연: 대중가수 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
4월 거리예술공연,문화복합센터,2024-04-01,2024-04-01,신청사 착공식과 연계한 거리공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
해운대 수목원 야외콘서트,해운대수목원,2024-05-01,2024-05-01,3개 구립예술단 및 대중가수 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
청소년오케스트라 음악소풍,APEC 나루공원,2024-05-01,2024-05-01,청소년오케스트라 상반기 야외연주회,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
제19회 해운대 모래축제,해운대 해수욕장+구남로,2024-05-24,2024-05-27,모래작품 전시+체험프로그램+플라워카펫 등,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-4062,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
청사포 바다콘서트 - 청사포 바다클래식 음악회,청사포 일대,2024-06-15,2024-06-15,오케스트라 클래식 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
찾아가는 마음나눔 음악회(반여3동) - 신나는 숲속 음악회,반여3동 초록공원,2024-06-14,2024-06-14,어르신들을 위한 맞춤형 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
제19회 국제매직페스티벌,해운대해수욕장+구남로,2024-06-28,2024-06-29,매직버스킹공연+무대공연+경연대회 등,부산국제매직페스티벌조직위원회,부산국제매직페스티벌조직위원회,부산광역시 해운대구청,051-749-4061,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
찾아가는 영화관Ⅰ,대천공연,2024-07-01,2024-07-01,야외 영화관 상영,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
영화의 거리 영화음악 콘서트- 아주 특별한 여름밤 시네마콘서트 (마린시티),영화의 거리,2024-08-31,2024-08-31,영화+음악 해설이 있는 영화음악 콘서트 공연,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
세대공감+신나는 풍류 콘서트,해운대해수욕장,2024-08-01,2024-08-01,고향사랑기부제 기금제안사업(선정시 진행),부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
제21회 담안골 문화축제,반송동 일원,2024-09-01,2024-09-01,개막행사+무대공연 등,반송지구발전협의회,반송지구발전협의회,부산광역시 해운대구청,051-749-4061,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
찾아가는 영화관Ⅱ (드라이브-인-시네마),해운대수목원,2024-09-01,2024-09-01,야외 영화관 상영,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-6041,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
제7회 반송한마음축제,반송동 일원,2024-10-01,2024-10-01,개막행사+무대공연 등,반송한마음축제위원회,반송한마음축제위원회,부산광역시 해운대구청,051-749-4061,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
달맞이언덕 인문학 축제,어울마당+추리문학관 등,2024-10-01,2024-10-01,인문학 강연+무대공연 등,해운대포럼,해운대포럼,부산광역시 해운대구청,051-749-4064,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2024-09-19
