time_of_day,lane_A_cars,lane_B_cars,lane_C_cars,lane_D_cars,signal_duration_A,signal_duration_B
night,24,2,84,18,92,8
night,15,5,55,42,75,25
morning,47,39,100,74,54,46
night,24,31,33,21,43,57
evening,154,108,75,83,58,42
evening,99,126,56,21,44,56
evening,103,179,53,87,36,64
afternoon,109,91,91,14,54,46
afternoon,127,138,56,80,47,53
morning,100,78,65,56,56,44
morning,140,48,38,76,74,26
night,34,6,97,90,85,15
evening,79,88,47,61,47,53
night,17,27,79,10,38,62
evening,79,172,50,50,31,69
afternoon,116,65,52,68,64,36
night,34,3,70,28,91,9
morning,49,40,43,69,55,45
morning,125,56,78,14,69,31
morning,30,97,38,50,23,77
morning,97,96,27,26,50,50
morning,57,72,89,47,44,56
night,38,5,26,42,88,12
morning,119,101,97,52,54,46
afternoon,77,57,52,11,57,43
morning,128,103,72,22,55,45
night,11,25,26,52,30,70
afternoon,160,57,72,73,73,27
evening,117,133,22,38,46,54
evening,131,180,60,75,42,58
night,23,6,55,85,79,21
evening,97,168,31,66,36,64
morning,40,51,97,13,43,57
afternoon,102,74,19,39,57,43
evening,110,112,100,95,49,51
afternoon,106,106,70,38,50,50
morning,32,63,27,10,33,67
night,46,30,96,75,60,40
night,3,17,69,80,15,85
morning,35,48,88,17,42,58
afternoon,77,103,29,34,42,58
afternoon,57,123,21,25,31,69
afternoon,139,49,92,10,73,27
morning,46,57,95,52,44,56
morning,72,52,87,67,58,42
morning,134,48,20,44,73,27
night,31,5,90,10,86,14
night,2,49,14,73,3,97
afternoon,115,40,39,68,74,26
night,48,34,18,43,58,42
afternoon,142,126,95,26,52,48
night,0,13,35,100,0,100
afternoon,116,109,13,65,51,49
night,32,47,28,42,40,60
evening,198,82,49,46,70,30
night,44,6,59,91,88,12
morning,128,35,33,32,78,22
night,3,26,50,64,10,90
afternoon,144,139,47,69,50,50
evening,199,92,62,60,68,32
night,13,31,12,36,29,71
evening,160,89,95,43,64,36
morning,134,67,68,21,66,34
morning,134,54,75,18,71,29
night,48,27,97,94,64,36
afternoon,155,55,76,11,73,27
afternoon,78,134,20,19,36,64
afternoon,155,140,100,96,52,48
morning,146,33,68,61,81,19
night,14,5,86,75,73,27
evening,110,165,64,92,40,60
morning,30,103,77,35,22,78
afternoon,113,90,54,89,55,45
afternoon,160,67,63,74,70,30
night,25,40,47,77,38,62
night,17,13,10,16,56,44
afternoon,163,115,63,99,58,42
morning,111,111,16,61,50,50
afternoon,168,80,83,52,67,33
night,5,14,56,10,26,74
night,12,46,48,27,20,80
morning,109,37,49,51,74,26
night,45,27,72,70,62,38
evening,130,142,69,56,47,53
afternoon,153,94,75,55,61,39
afternoon,99,120,100,67,45,55
night,33,18,44,98,64,36
afternoon,72,53,61,44,57,43
night,11,39,43,11,22,78
evening,104,145,97,36,41,59
morning,92,60,81,44,60,40
evening,166,138,56,50,54,46
morning,115,40,93,30,74,26
afternoon,74,92,76,37,44,56
night,17,3,16,37,85,15
morning,105,20,19,89,84,16
evening,82,163,40,57,33,67
evening,108,167,94,59,39,61
night,8,29,95,66,21,79
afternoon,60,83,57,39,41,59
evening,122,90,58,45,57,43
afternoon,152,98,73,70,60,40
morning,64,62,56,51,50,50
afternoon,50,49,54,84,50,50
evening,107,159,17,43,40,60
night,26,26,95,21,50,50
evening,183,75,26,90,70,30
night,6,3,68,44,66,34
afternoon,167,102,69,68,62,38
evening,112,150,26,22,42,58
morning,150,69,96,52,68,32
morning,104,63,22,10,62,38
